name,country,contact_person,email,products,division
ALL CARBON,,Ms Alice chen,Alice@allcarbon.com.cn,MICROSILICA,REFRACTORY RAW MATERIALS
DALIAN QIXIANG REFRACTORIES CO.; LTD.,China,Ms.Maria,maylongdalian@163.com; kxl1981@163.com," SILICON CARBIDE BLOCK , CARBOFRAX , MORTAR ",REFRACTORY PRODUCTS
BETTERLY INDUSTRIAL CO.; LTD.,Hong Kong,Mr. Shuguang QU;Ms. Erica,zzqufeng@hotmail.com,"WFA,BFA,SIC,SPINEL, SIC,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA,TABULAR ALUMINA",REFRACTORY RAW MATERIALS
CIMM GROUP,China,Ms. Jenny,jenny@cimmuk.com,GRAPHITE ELECTRODES,REFRACTORY PRODUCTS
KAIDA ROLL,China,Stacy Wang,stacy@kaidaroll.com,ROLLS,REFRACTORY PRODUCTS
DELONG ROLL,China,"An Zinuo,Max Huo",sale@delongroll.com,ROLLS,REFRACTORY PRODUCTS
BKDR TECH,China,Myron Zhu,myron.zhu@qq.com,ROLLS,REFRACTORY PRODUCTS
TANGSHAN WEILAN TRADING,China,Sheridan ,sales3@tsweilang.com,ROLLS,REFRACTORY PRODUCTS
DELDA CARBON,China,Ms.Rita Liu,rita@delda.com.cn,GRAPHITE ELECTRODES,REFRACTORY PRODUCTS
HEBEI GUIKUN CHEMICALPRODUCT CO.;LTD ,China,Ms. Silvia,silvia@guikunchem.com,GRAPHITE ELECTRODES,REFRACTORY PRODUCTS
FANGLIN MINERALS,China,Mr Xu Menglei,xh.fu@fanglinminerals.com,"FM,DBM,CCM,SIC",REFRACTORY RAW MATERIALS
FANGDA CARBON ,China,Eason Che,eason.che@qq.com,GRAPHITE ELECTRODES,REFRACTORY PRODUCTS
FUPENG INTERNATIONAL GROUP LTD.,China,Ms. Hellen Du,hellen@fupengmgo.com,"FM,DBM,CCM",REFRACTORY RAW MATERIALS
HITECH INDUSTRIAL HOLDING CO.; LIMITED,CHINA,Tina Gong (Ms.) ;Dr. Stone Wu (Mr.),tina@forevermaterial.com; stonewu@forevermaterial.com ,"MAG CARBON BRICKS, MAG CHROME BRICKS",REFRACTORY PRODUCTS
DASHIQIAO GUANCHENG REFRACTORY CO. LTD,China,MR.SUN GUOZHU,sunguozhu0205@163.com;   420876852@qq.com ,"MAG CARBON BRICKS, MAG CHROME BRICKS",REFRACTORY PRODUCTS
LIAONING FUCHENG REFRACTORY PRODUCTS GROUP CO.;LTD ,China,Ms.Sunny Liu ,sea585@163.com,"MAG CARBON BRICKS, MAG CHROME BRICKS",REFRACTORY PRODUCTS
AMANDA INTERNATIONAL PRIVATE LIMITED ,,Ms.Lucy Zhao,sales01@amanda.net.cn,WOLLASTONITE,CERAMIC
XINHU SOUTH WOLLASTONITE,China,Donna Yan,myanmeidonna@xynf.cn,WOLLASTONITE,CERAMIC
SONG BINH MINERALS JOINT STOCK COMPANY,Vietnam,Shina ( Ms.Duong )  ,duong.tran@songbinhminerals.com ;  tri.huynh@songbinhminerals.com,ZIRCON FLOUR,CERAMIC
EAST MINERALS,VIETNAM,Ms. Trang,trangtq@eastminerals.asia,ZIRCON FLOUR,CERAMIC
VMPC MINERALS,VIETNAM,Ms. Lily,endinhthi@gmail.com,ZIRCON FLOUR,CERAMIC
PT MONOKEM SURYA,INDONESIA,Mr. Aditya Laksmana,salesexport@monokem.com,ZIRCON FLOUR,CERAMIC
INDUSTRIAL MINERALS COMPANY L.L.C; OWNED BY MAADEN CO.,,Mr. Ali Mohammed Al Sarar ;Mr. Kumar Chenniappan;Mr.Suhayb  Khalid Albilasi,SararA@maaden.com.sa; ChenniappanK@Maaden.com.sa ; AlbilasiS@maaden.com.sa,DBM,REFRACTORY RAW MATERIALS
JSM REFRACTORY COMPANY LIMITED,,MS. Monica Lee;Ms. Ryan,monica@jsmrefractory.com; Ryan@jsmrefractory.com,BAUXITE,REFRACTORY RAW MATERIALS
KIMWAN CARBON,China,Hidy,hehuan@kimwan.cn,GRAPHITE ELECTRODES,REFRACTORY PRODUCTS
MAOSON MINERALS LIMITED,China,Mr. DU Yongjun;Ms. Lu Na,du_yongjun_007@163.com,"WFA,BFA,DBM,FM,SIC,SPINEL,FMCR,CCM,GRAPHITE FLAKE,SIC,BAUXITE,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA,TABULAR ALUMINA",REFRACTORY RAW MATERIALS
BBC MINES,INDIA,Mr. Chrnaram,bbcminessindawar@gmail.com,"BALL CLAY, KAOLIN",CERAMIC
QUARRO;MINECRAFT MINERALS,INDIA,Mr. Aakash Kavadia,aakash@quarro.in,"KAOLIN, FELDSPAR",CERAMIC
PRIME RESOURCES TRADING CO.; LIMITED,,Mr. Ren;Ms. YU Jing,rxm@sinominmetals.com.cn; smmaster@sinominmetals.com.cn,"WFA,BFA,DBM,FM,SIC,SPINEL,FMCR,CCM,GRAPHITE FLAKE,SIC,BAUXITE,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA",REFRACTORY RAW MATERIALS
REALHI TRADE CO. LTD,,Ms. Jane,manager@dlrenheng.com,"FM,DBM,CCM",REFRACTORY RAW MATERIALS
REFMIN INTERNATIONAL CO; LTD,,Mr. Ivan;Jack;,ivan@refmin.com.cn; jack@refmin.com.cn,"WFA,BFA,DBM,FM,SIC,SPINEL,FMCR,CCM,GRAPHITE FLAKE,SIC,BAUXITE,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA,TABULAR ALUMINA",REFRACTORY RAW MATERIALS
SINO MINMETALS CO.;LTD,,Mr. Ren;Ms. YU Jing,rxm@sinominmetals.com.cn; smmaster@sinominmetals.com.cn,"WFA,BFA,DBM,FM,SIC,SPINEL,FMCR,CCM,GRAPHITE FLAKE,SIC,BAUXITE,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA,TABULAR ALUMINA",REFRACTORY RAW MATERIALS
HTR Henan Hongtai Kiln Refractory Co. LTD,China,Ashwini Pandey;Rita Li,ashwinipandey@globalmonarchuae.com;intl.monarch@outlook.com,INSULATION BRICKS,REFRACTORY PRODUCTS
"Yingkou Shunan New Material Technology Co., LTD",China,Ashwini Pandey;Rita Li,ashwinipandey@globalmonarchuae.com;intl.monarch@outlook.com,MAG CARBON BRICKS,REFRACTORY PRODUCTS
LIAONING ZHONGMEI GROUP,China,Ashwini Pandey;Rita Li,ashwinipandey@globalmonarchuae.com;intl.monarch@outlook.com,MAG-CHROME AND DOLOMITE BRICKS,REFRACTORY PRODUCTS
Jiangsu Chianaref Refractory Co. Ltd,China,"Hisense Hu , Murphy Zhang","hisense.hu@chianaref.com , murphy.zhang@chianaref.com",TUNDISH COVER,REFRACTORY PRODUCTS
"Liaoning Guomei Refractory Co., Ltd.",China,Rita Li;Ashwini Pandey,ashwinipandey@globalmonarchuae.com;intl.monarch@outlook.com,MAGNESIA BRICKS,REFRACTORY PRODUCTS
"Lu'an Greenergy Refractory and Insulation Material Co.,Ltd",China,Tom King,"sales_refractory@greenergyrefractories.com , info@greenergyrefractories.com",INSULATION BRICKS,REFRACTORY PRODUCTS
"Yingkou Jiamei Refractories Co.,Ltd.",China,Ashwini Pandey;Rita Li,ashwinipandey@globalmonarchuae.com;intl.monarch@outlook.com,MAG CHROME BRICKS,REFRACTORY PRODUCTS
DB GROUP EXPORTS,INDIA,Mr Swapnil,exports@groupdb.co,FELDSPAR,CERAMIC
SHANDONG BP NEW MATERIAL TECHNOLOGY,CHINA,Mr. Soong,songjtao@sdhx.com,ALUMINA BALLS,CERAMIC
HENAN E-GRIND ABRASIVES CO.LTD,CHINA,Ms. Lance,lance@e-grindabrasives.com,GRINDING DISC,CERAMIC
LISBETH  MINERALS,INDONESIA,Mr. Marchelle,lisbeth.office@gmail.com,ZIRCON SAND,CERAMIC
