name,country,contact_person,email
"DALIAN QIXIANG REFRACTORIES CO., LTD.",,Ms.Maria,maylongdalian@163.com /   kxl1981@163.com
DELDA CARBON,,Ms.Rita Liu,rita@delda.com.cn
Dan Tan,,Eason Che,eason.che@qq.com
Jianlong Carbon,,Ana Xu,anaxu@jiang-long.com
Fangda Carbon ,,Eason Che,eason.che@qq.com
Kimwan Carbon,,Hidy,hehuan@kimwan.cn
Beijing LY Metals and Mining ,,Ms. Lucy Wang,wanghuiying51@hotmail.com
Haili Carbon,,Ms. Haili ,haili@hailicarbon.com
CIMM Group,,Ms. Jenny,jenny@cimmuk.com
Hebei Yunai New Material Technology,,Mr. Jack Yan,jack@yncarbon.com
Hebei Kangnaixing,,Kun Wang,kun@hbkangnaixing.com
Anssen Metallurgy,,Aaron Huang,tech@anssen.com
"Apoyo Metallurgy Co.,LTD",,Ms.Leticia,apoyometalleticia@163.com /  leticia@lnsstsjt.cn
Kaida Roll,,Stacy Wang,stacy@kaidaroll.com
Delong Roll,,An Zinuo,sale@delongroll.com
BKDR Tech,,Myron Zhu,myron.zhu@qq.com
Tangshan Weilan Trading,,Sheridan ,sales3@tsweilang.com
Metallfox,,Natalia Erkina,n.erkina@metallfox.ru
Westbrook Resources Ltd,,Andy Sharp,asharp@wbrl.co.uk
IXM,,Annabelle Liang ,annabelle.liang@ixmmetals.com
Gaoteng Industrial raw materials,,Ms. Carol,gaoteng1@gtdl.com.cn
JIANGXI KEXING SPECIAL CERAMIC Co.LTD,,,
"JIANGXI KEXING SPECIAL CERAMIC Co., LTD",,,
"HITECH INDUSTRIAL HOLDING CO., LIMITED",,"Tina Gong (Ms.) , Dr. Stone Wu (Mr.)",tina@forevermaterial.com   stonewu@forevermaterial.com 
DASHIQIAO GUANCHENG REFRACTORY CO. LTD,,MR.SUN GUOZHU,sunguozhu0205@163.com   420876852@qq.com 
"Liaoning Fucheng Refractory Products Group Co.,Ltd ",,Ms.Sunny Liu ,sea585@163.com
"EBEI GUIKUN CHEMICALPRODUCT CO.,LTD ",,Ms. Silvia,silvia@guikunchem.com
Amanda International private limited ,,Ms.Lucy Zhao,sales01@amanda.net.cn
Xinhu south Wollastonite,,China,
SONG BINH MINERALS JOINT STOCK COMPANY,,Shina ( Ms.Duong )  ,"duong.tran@songbinhminerals.com ,  tri.huynh@songbinhminerals.com"
EAST MINERALS,,Vietnam,
VMPC MINERALS,,Vietnam,
PT MONOKEM SURYA,,indonesia,
MAOSON MINERALS LIMITED,,Mr. DU Yongjun/ Ms. Lu Na,du_yongjun_007@163.com
"PRIME RESOURCES TRADING CO., LIMITED",,Mr. Ren/ Ms. YU Jing,"rxm@sinominmetals.com.cn, smmaster@sinominmetals.com.cn"
"SINO MINMETALS CO.,LTD",,Mr. Ren/ Ms. YU Jing,"rxm@sinominmetals.com.cn, smmaster@sinominmetals.com.cn"
JSM Refractory Company Limited,,MS. Monica Lee/ Ms. Ryan,monica@jsmrefractory.com; Ryan@jsmrefractory.com
"Refmin International Co, Ltd",,"Mr. Ivan/ Jack, ",ivan@refmin.com.cn; jack@refmin.com.cn
"Industrial Minerals Company L.L.C, Owned BY MAADEN CO.",,Mr. Ali Mohammed Al Sarar ; Mr. Kumar Chenniappan & Mr.Suhayb  Khalid Albilasi,SararA@maaden.com.sa; ChenniappanK@Maaden.com.sa ; AlbilasiS@maaden.com.sa
Konya Selcuklu Krom Magnezit Tugla Sanayii A.S.,,Mr. Hasan Guney,konyakrom@konyakrom.com gidenvrak@konyakrom.com
IBAR NORDESTE LTDA,,Erica Almeida / Emilio Lobato,erica@ibarnordeste.com.br / emilio.lobato@ibarnordeste.com.br
