name,country,contact_person,email
DALIAN QIXIANG REFRACTORIES CO.; LTD.,,Ms.Maria,maylongdalian@163.com; kxl1981@163.com
DELDA CARBON,,Ms.Rita Liu,rita@delda.com.cn
DAN TAN,,Eason Che,eason.che@qq.com
JIANLONG CARBON,,Ana Xu,anaxu@jiang-long.com
FANGDA CARBON ,,Eason Che,eason.che@qq.com
KIMWAN CARBON,,Hidy,hehuan@kimwan.cn
BEIJING LY METALS AND MINING ,,Ms. Lucy Wang,wanghuiying51@hotmail.com
HAILI CARBON,,Ms. Haili ,haili@hailicarbon.com
CIMM GROUP,,Ms. Jenny,jenny@cimmuk.com
HEBEI YUNAI NEW MATERIAL TECHNOLOGY,,Mr. Jack Yan,jack@yncarbon.com
HEBEI KANGNAIXING,,Kun Wang,kun@hbkangnaixing.com
ANSSEN METALLURGY,,Aaron Huang,tech@anssen.com
APOYO METALLURGY CO.;LTD,,Ms.Leticia,apoyometalleticia@163.com ;  leticia@lnsstsjt.cn
KAIDA ROLL,,Stacy Wang,stacy@kaidaroll.com
DELONG ROLL,,An Zinuo,sale@delongroll.com
BKDR TECH,,Myron Zhu,myron.zhu@qq.com
TANGSHAN WEILAN TRADING,,Sheridan ,sales3@tsweilang.com
METALLFOX,,Natalia Erkina,n.erkina@metallfox.ru
WESTBROOK RESOURCES LTD,,Andy Sharp,asharp@wbrl.co.uk
IXM,,Annabelle Liang ,annabelle.liang@ixmmetals.com
GAOTENG INDUSTRIAL RAW MATERIALS,,Ms. Carol,gaoteng1@gtdl.com.cn
JIANGXI KEXING SPECIAL CERAMIC CO.LTD,,,
JIANGXI KEXING SPECIAL CERAMIC CO.; LTD,,,
HITECH INDUSTRIAL HOLDING CO.; LIMITED,,Tina Gong (Ms.) ; Dr. Stone Wu (Mr.),tina@forevermaterial.com; stonewu@forevermaterial.com 
DASHIQIAO GUANCHENG REFRACTORY CO. LTD,,MR.SUN GUOZHU,sunguozhu0205@163.com;   420876852@qq.com 
LIAONING FUCHENG REFRACTORY PRODUCTS GROUP CO.;LTD ,,Ms.Sunny Liu ,sea585@163.com
EBEI GUIKUN CHEMICALPRODUCT CO.;LTD ,,Ms. Silvia,silvia@guikunchem.com
AMANDA INTERNATIONAL PRIVATE LIMITED ,,Ms.Lucy Zhao,sales01@amanda.net.cn
XINHU SOUTH WOLLASTONITE,,China,
SONG BINH MINERALS JOINT STOCK COMPANY,,Shina ( Ms.Duong )  ,duong.tran@songbinhminerals.com ;  tri.huynh@songbinhminerals.com
EAST MINERALS,,Vietnam,
VMPC MINERALS,,Vietnam,
PT MONOKEM SURYA,,indonesia,
MAOSON MINERALS LIMITED,,Mr. DU Yongjun; Ms. Lu Na,du_yongjun_007@163.com
PRIME RESOURCES TRADING CO.; LIMITED,,Mr. Ren; Ms. YU Jing,rxm@sinominmetals.com.cn; smmaster@sinominmetals.com.cn
SINO MINMETALS CO.;LTD,,Mr. Ren; Ms. YU Jing,rxm@sinominmetals.com.cn; smmaster@sinominmetals.com.cn
JSM REFRACTORY COMPANY LIMITED,,MS. Monica Lee; Ms. Ryan,monica@jsmrefractory.com; Ryan@jsmrefractory.com
REFMIN INTERNATIONAL CO; LTD,,Mr. Ivan; Jack; ,ivan@refmin.com.cn; jack@refmin.com.cn
INDUSTRIAL MINERALS COMPANY L.L.C; OWNED BY MAADEN CO.,,Mr. Ali Mohammed Al Sarar ; Mr. Kumar Chenniappan & Mr.Suhayb  Khalid Albilasi,SararA@maaden.com.sa; ChenniappanK@Maaden.com.sa ; AlbilasiS@maaden.com.sa
