name,country,contact_person,email,products,division
DALIAN QIXIANG REFRACTORIES CO.; LTD.,China,Ms.Maria,maylongdalian@163.com; kxl1981@163.com," SILICON CARBIDE BLOCK , Carbofrax , MORTAR ",REFRACTORY PRODUCTS
DELDA CARBON,,Ms.Rita Liu,rita@delda.com.cn,,
DAN TAN,,Eason Che,eason.che@qq.com,,
JIANLONG CARBON,,Ana Xu,anaxu@jiang-long.com,,
FANGDA CARBON ,,Eason Che,eason.che@qq.com,,
KIMWAN CARBON,,Hidy,hehuan@kimwan.cn,,
BEIJING LY METALS AND MINING ,,Ms. Lucy Wang,wanghuiying51@hotmail.com,,
HAILI CARBON,,Ms. Haili ,haili@hailicarbon.com,,
CIMM GROUP,,Ms. Jenny,jenny@cimmuk.com,,
HEBEI YUNAI NEW MATERIAL TECHNOLOGY,,Mr. Jack Yan,jack@yncarbon.com,,
HEBEI KANGNAIXING,,Kun Wang,kun@hbkangnaixing.com,,
ANSSEN METALLURGY,,Aaron Huang,tech@anssen.com,,
APOYO METALLURGY CO.;LTD,,Ms.Leticia,apoyometalleticia@163.com ;  leticia@lnsstsjt.cn,,
KAIDA ROLL,China,Stacy Wang,stacy@kaidaroll.com,Rolls,REFRACTORY PRODUCTS
DELONG ROLL,China,An Zinuo //  Max Huo,sale@delongroll.com,Rolls,REFRACTORY PRODUCTS
BKDR TECH,China,Myron Zhu,myron.zhu@qq.com,Rolls,REFRACTORY PRODUCTS
TANGSHAN WEILAN TRADING,China,Sheridan ,sales3@tsweilang.com,Rolls,REFRACTORY PRODUCTS
METALLFOX,,Natalia Erkina,n.erkina@metallfox.ru,,
WESTBROOK RESOURCES LTD,,Andy Sharp,asharp@wbrl.co.uk,,
IXM,,Annabelle Liang ,annabelle.liang@ixmmetals.com,,
GAOTENG INDUSTRIAL RAW MATERIALS,,Ms. Carol,gaoteng1@gtdl.com.cn,,
JIANGXI KEXING SPECIAL CERAMIC CO.LTD,,,,,
JIANGXI KEXING SPECIAL CERAMIC CO.; LTD,,,,,
HITECH INDUSTRIAL HOLDING CO.; LIMITED,CHINA,Tina Gong (Ms.) ; Dr. Stone Wu (Mr.),tina@forevermaterial.com; stonewu@forevermaterial.com ,"MAG CARBON BRICKS, MAG CHROME BRICKS",REFRACTORY PRODUCTS
DASHIQIAO GUANCHENG REFRACTORY CO. LTD,China,MR.SUN GUOZHU,sunguozhu0205@163.com;   420876852@qq.com ,"MAG CARBON BRICKS, MAG CHROME BRICKS",REFRACTORY PRODUCTS
LIAONING FUCHENG REFRACTORY PRODUCTS GROUP CO.;LTD�,China,Ms.Sunny Liu�,sea585@163.com,"MAG CARBON BRICKS, MAG CHROME BRICKS",REFRACTORY PRODUCTS
EBEI GUIKUN CHEMICALPRODUCT CO.;LTD ,,Ms. Silvia,silvia@guikunchem.com,,
AMANDA INTERNATIONAL PRIVATE LIMITED ,,Ms.Lucy Zhao,sales01@amanda.net.cn,WOLLASTONITE,CERAMIC
XINHU SOUTH WOLLASTONITE,China,Donna Yan,myanmeidonna@xynf.cn,WOLLASTONITE,CERAMIC
SONG BINH MINERALS JOINT STOCK COMPANY,Vietnam,Shina ( Ms.Duong )  ,duong.tran@songbinhminerals.com ;  tri.huynh@songbinhminerals.com,ZIRCON FLOUR,CERAMIC
EAST MINERALS,VIETNAM,Ms. Trang,trangtq@eastminerals.asia,ZIRCON FLOUR,CERAMIC
VMPC MINERALS,VIETNAM,Ms. Lily,endinhthi@gmail.com,ZIRCON FLOUR,CERAMIC
PT MONOKEM SURYA,INDONESIA,Mr. Aditya Laksmana,salesexport@monokem.com,ZIRCON FLOUR,CERAMIC
MAOSON MINERALS LIMITED,,Mr. DU Yongjun; Ms. Lu Na,du_yongjun_007@163.com,,
PRIME RESOURCES TRADING CO.; LIMITED,,Mr. Ren; Ms. YU Jing,rxm@sinominmetals.com.cn; smmaster@sinominmetals.com.cn,,
SINO MINMETALS CO.;LTD,,Mr. Ren; Ms. YU Jing,rxm@sinominmetals.com.cn; smmaster@sinominmetals.com.cn,,
JSM REFRACTORY COMPANY�LIMITED,,MS. Monica Lee; Ms. Ryan,monica@jsmrefractory.com; Ryan@jsmrefractory.com,,
REFMIN INTERNATIONAL CO; LTD,,Mr. Ivan; Jack; ,ivan@refmin.com.cn; jack@refmin.com.cn,,
INDUSTRIAL MINERALS COMPANY L.L.C; OWNED BY MAADEN CO.,,Mr. Ali Mohammed Al Sarar ; Mr. Kumar Chenniappan & Mr.Suhayb  Khalid Albilasi,SararA@maaden.com.sa; ChenniappanK@Maaden.com.sa ; AlbilasiS@maaden.com.sa,,
KONYA SELCUKLU KROM MAGNEZIT TUGLA SANAYII A.S.,,Mr. Hasan Guney,konyakrom@konyakrom.com; gidenvrak@konyakrom.com,,
IBAR NORDESTE LTDA,,Erica Almeida ; Emilio Lobato,erica@ibarnordeste.com.br ; emilio.lobato@ibarnordeste.com.br,,
XILOLITE; BRAZIL,,Marco Aur�lio Lobo da Luz,marco.luz@xilolite.com.br,,
BETTERLY INDUSTRIAL CO.; LTD.,,Mr. Shuguang QU; Ms. Erica,zzqufeng@hotmail.com,,
