name,country,contact_person,email,Products,Division
ALL CARBON,,Ms Alice chen,Alice@allcarbon.com.cn,MICROSILICA,REFRACTORY RAW MATERIALS
DALIAN QIXIANG REFRACTORIES CO.; LTD.,China,Ms.Maria,maylongdalian@163.com; kxl1981@163.com," SILICON CARBIDE BLOCK , Carbofrax , MORTAR ",REFRACTORY PRODUCTS
ABHIJEET FERRO TECH LIMITED ,,Anil Nair ,anil.nair@abhijeet.in,,
AL JOOD NATURAL RESOURCES LLC,,Mohammed Rizwan,rizwan@aljood.om,,
ALCHEMY HEAVY METAL,,,,,
ANIL MINERALS,,,,,
ANSSEN METALLURGY,,Aaron Huang,tech@anssen.com,,
APOYO METALLURGY CO.;LTD,,Ms.Leticia,apoyometalleticia@163.com ;  leticia@lnsstsjt.cn,,
BEIJING LY METALS AND MINING ,,Ms. Lucy Wang,wanghuiying51@hotmail.com,,
BETTERLY INDUSTRIAL CO.; LTD.,Hong Kong,Mr. Shuguang QU; Ms. Erica,zzqufeng@hotmail.com,"WFA,BFA,SIC,SPINEL, SIC,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA,TABULAR ALUMINA",REFRACTORY RAW MATERIALS
CIMM GROUP,China,Ms. Jenny,jenny@cimmuk.com,,
CORONA ,,Esteban Barrientos Villegas - Direct Materials Corporate Negotiator,ebarrientosv@corona.com.co,,
CUBYIRA COMMODITIES PARTNERS,,Ishan Bhaskar ,ishanbhaskar@gmail.com,,
D S ALLOYD ,,MR GOPAL,gopal@dsalloys.com,,
KAIDA ROLL,China,Stacy Wang,stacy@kaidaroll.com,Rolls,REFRACTORY PRODUCTS
DELONG ROLL,China,"An Zinuo ,,  Max Huo",sale@delongroll.com,Rolls,REFRACTORY PRODUCTS
BKDR TECH,China,Myron Zhu,myron.zhu@qq.com,Rolls,REFRACTORY PRODUCTS
TANGSHAN WEILAN TRADING,China,Sheridan ,sales3@tsweilang.com,Rolls,REFRACTORY PRODUCTS
DAN TAN,China,Eason Che,eason.che@qq.com,,
DELDA CARBON,China,Ms.Rita Liu,rita@delda.com.cn,,
EBEI GUIKUN CHEMICALPRODUCT CO.;LTD ,,Ms. Silvia,silvia@guikunchem.com,,
ERYAS OLIVINE MADENCILIK VE DIS TIC.LTD. STI.,,Mr.Murat YAKUT-Foreign Trade Manager,muratyakut@eryas.com; berkanipek@eryas.com,,
FANGLIN MINERALS,,Mr Xu Menglei,xh.fu@fanglinminerals.com,"FM,DBM,CCM,SIC",REFRACTORY RAW MATERIALS
FANGDA CARBON ,,Eason Che,eason.che@qq.com,,
FLOOREX TILES,,,,,
FUPENG INTERNATIONAL GROUP LTD.,China,Ms. Hellen Du,hellen@fupengmgo.com,"FM,DBM,CCM",REFRACTORY RAW MATERIALS
HITECH INDUSTRIAL HOLDING CO.; LIMITED,CHINA,Tina Gong (Ms.) ; Dr. Stone Wu (Mr.),tina@forevermaterial.com; stonewu@forevermaterial.com ,"MAG CARBON BRICKS, MAG CHROME BRICKS",REFRACTORY PRODUCTS
DASHIQIAO GUANCHENG REFRACTORY CO. LTD,China,MR.SUN GUOZHU,sunguozhu0205@163.com;   420876852@qq.com ,"MAG CARBON BRICKS, MAG CHROME BRICKS",REFRACTORY PRODUCTS
LIAONING FUCHENG REFRACTORY PRODUCTS GROUP CO.;LTD ,China,Ms.Sunny Liu ,sea585@163.com,"MAG CARBON BRICKS, MAG CHROME BRICKS",REFRACTORY PRODUCTS
FUPENG INTERNATIONAL GROUP LTD.,,Ms. Hellen Du,hellen@fupengmgo.com,,
AMANDA INTERNATIONAL PRIVATE LIMITED ,,Ms.Lucy Zhao,sales01@amanda.net.cn,WOLLASTONITE,CERAMIC
XINHU SOUTH WOLLASTONITE,China,Donna Yan,myanmeidonna@xynf.cn,WOLLASTONITE,CERAMIC
SONG BINH MINERALS JOINT STOCK COMPANY,Vietnam,Shina ( Ms.Duong )  ,duong.tran@songbinhminerals.com ;  tri.huynh@songbinhminerals.com,ZIRCON FLOUR,CERAMIC
EAST MINERALS,VIETNAM,Ms. Trang,trangtq@eastminerals.asia,ZIRCON FLOUR,CERAMIC
VMPC MINERALS,VIETNAM,Ms. Lily,endinhthi@gmail.com,ZIRCON FLOUR,CERAMIC
PT MONOKEM SURYA,INDONESIA,Mr. Aditya Laksmana,salesexport@monokem.com,ZIRCON FLOUR,CERAMIC
GANSU JINSHI CHEMICAL INDUSTRIAL CO.LTD,,Mr. Robert,chromechem@hotmail.com,,
GANSU RICH MINMETALS CO.;LTD,,Ms wang ,gansurich@hotmail.com,,
GAOTENG INDUSTRIAL RAW MATERIALS,,Ms. Carol,gaoteng1@gtdl.com.cn,,
GSA SH.P.K,,ELTON BEQI ,elton.beqi@gsa.al,,
HAILI CARBON,,Ms. Haili ,haili@hailicarbon.com,,
HEBEI KANGNAIXING,,Kun Wang,kun@hbkangnaixing.com,,
HEBEI YUNAI NEW MATERIAL TECHNOLOGY,,Mr. Jack Yan,jack@yncarbon.com,,
HIRA POWER AND STEELS LTD ; INDIA ,,Mr Vikas AGARWAL,export@hpslindia.com,,
IBAR NORDESTE LTDA.,Brazil,Erica Almeida ;  Emilio Lobato, ibarcomex@ibar.com.br ; erica@ibarnordeste.com.br; emilio.lobato@ibarnordeste.com.br,,
ICI SUISEE ,,Eugene Simonovskiy,e.simonovskiy@ici-suisse.com,,
INDUSTRIAL MINERALS COMPANY L.L.C; OWNED BY MAADEN CO.,,Mr. Ali Mohammed Al Sarar ; Mr. Kumar Chenniappan & Mr.Suhayb  Khalid Albilasi,SararA@maaden.com.sa; ChenniappanK@Maaden.com.sa ; AlbilasiS@maaden.com.sa,DBM,REFRACTORY RAW MATERIALS
IXM,,Annabelle Liang ,annabelle.liang@ixmmetals.com,,
JAI BALAJI INDUSTRIES LTD,,Mr Tahmeed ,tahmeed@jaibalajigroup.com,,
JIANGXI KEXING SPECIAL CERAMIC CO.; LTD,,,,,
JIANGXI KEXING SPECIAL CERAMIC CO.LTD,,,,,
JIANLONG CARBON,,Ana Xu,anaxu@jiang-long.com,,
JINLI GROUP ,,Mr Bajoe,info@chinacoredwire.com,,
JSM REFRACTORY COMPANY LIMITED,,MS. Monica Lee; Ms. Ryan,monica@jsmrefractory.com; Ryan@jsmrefractory.com,BAUXITE,REFRACTORY RAW MATERIALS
KAMRAN COMMERCIALS PVT LTD ,,Anis Gul ,kamran_commercials@hotmail.com,,
KIBAR GROUP ,,Mehmet Karakas ,mehmet.karakas@kibardisticaret.com,,
KIMWAN CARBON,,Hidy,hehuan@kimwan.cn,,
KONYA SELCUKLU KROM MAGNEZIT TUGLA SANAYII A.S.,,Mr. Hasan Guney,konyakrom@konyakrom.com; gidenvrak@konyakrom.com,,
LANZHOU SUNRISING FERROALLOY CO.;LTD ,,Mr Deer Lu ; Ms Lilian,sales@westfesi.com,,
LIANYUNGANG EAST SUN INTERNATIONAL TRADE CO.;LTD,,Mr. Zhang Rongbin,chinagraphite@vip.163.com,,
MAGNESITA MINERACAO S.A.; BRAZIL,,Maria Paula Guimarães Rezende;  Eber Almeida ;  Alvaro lopes,Maria.Rezende@rhimagnesita.com; Eber.Almeida@rhimagnesita.com; Alvaro.Lopes@RHIMagnesita.com,,
MAITHAN ALLOYS LTD,,Mr Bhaskar Behera ,office@maithanalloys.com,,
MAOSON MINERALS LIMITED,China,Mr. DU Yongjun; Ms. Lu Na,du_yongjun_007@163.com,"WFA,BFA,DBM,FM,SIC,SPINEL,FMCR,CCM,GRAPHITE FLAKE,SIC,BAUXITE,MULLITE,FUSED SILICA,CEMENT,CALCINED ALUMINA,TABULAR ALUMINA",REFRACTORY RAW MATERIALS
MASTER MINERALS,,,,,
METAL MARKET ,,Mehmet Delen ,mehmet@metalmarket.com.tr,,
BBC MINES,INDIA,Mr. Chrnaram,bbcminessindawar@gmail.com,"BALL CLAY, KAOLIN",CERAMIC
